Dia;Dia_mes;Mes;Dia_sem;Lluvia;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;NMCH_MAX
45;14;FEB;S;0,1;12,4;7;42;20;4,9;0,27;5,125;20,66666667;7,833333333;11,33333333;62,57142857;1,666666667;0,466666667;0,25;1,43;0,316666667;8;0,6;18;38;11;19;84;6,5;1,2;0,6;1,69;0,83
46;15;FEB;D;4;14,9;7;37;17;4,9;0,28;5,375;20,08333333;4,666666667;6,166666667;54,21428571;1,6;0,466666667;0,233333333;1,41;0,206666667;9;0,6;16;39;6;10;76;6,2;1,3;0,5;1,63;0,5
47;16;FEB;L;0;13,3;7,8;28;12;5,8;0,31;15,83333333;36,83333333;6,166666667;8,25;41,85714286;2,316666667;0,7;0,616666667;1,416666667;0,123333333;10;0,6;38;51;8;15;60;5,9;2;2,1;1,6;0,21
48;17;FEB;M;6,2;12,1;4,5;66;26;7,1;0,29;6,291666667;20,70833333;3,5;6,5;66,07142857;1,666666667;0,45;0,316666667;1,406666667;0,133333333;24;0,6;24;39;6;10;92;3,7;1,1;0,8;1,57;0,25
49;18;FEB;X;0;11;3,9;45;19;9,2;0,36;8,625;29,70833333;5,833333333;8,25;51,57142857;1,783333333;0,533333333;0,383333333;1,433333333;0,153333333;39;0,6;35;54;8;12;81;4,6;1,3;0,9;1,59;0,29
50;19;FEB;J;0;11,7;2,8;18;10;7,2;0,47;31,875;55,04166667;13,66666667;18;33,42857143;3,083333333;0,9;0,55;1,54;0,19;12;0,7;81;80;15;25;54;5,2;2,3;1;1,79;0,37
51;20;FEB;V;0;11,4;2,1;22;11;6,9;0,53;36,91666667;60,95833333;22,16666667;25,83333333;33;3,9;1,083333333;0,666666667;1,603333333;0,24;11;0,8;66;78;24;36;42;5,7;2,7;1,4;1,92;0,5
52;21;FEB;S;3;13,2;5,2;43;23;5,2;0,35;7,375;25,5;7,833333333;9,75;61,78571429;1,416666667;0,583333333;0,35;1,426666667;0,216666667;10;0,6;23;49;9;15;76;3,2;1,7;0,8;1,63;0,5
53;22;FEB;D;0;14,2;2,5;35;15;5,7;0,36;8,833333333;34,75;5,833333333;10,41666667;50,71428571;1,633333333;0,583333333;0,333333333;1,62;0,293333333;10;0,6;33;53;9;20;65;3,3;1,7;0,7;1,89;0,71
54;23;FEB;L;0;13,9;7,4;48;22;5,1;0,3;10,43478261;24,04347826;5,8;9,181818182;49,71428571;1,633333333;0,433333333;0,383333333;1,423333333;0,293333333;10;0,6;35;46;9;17;70;3,6;1,2;0,9;1,67;0,75
55;24;FEB;M;0;11,7;4,5;49;22;5,222222222;0,355555556;8,090909091;23,18181818;4,25;8;67,15384615;1,94;0,7;0,36;1,555;0,555;9;0,6;33;43;6;13;84;3,9;1,7;0,7;1,66;1
56;25;FEB;X;0;14,4;4,4;49;21;5,777777778;0,388888889;16,60869565;35,26086957;5,2;10,27272727;56,84615385;2,56;0,8;0,48;1,65;0,57;10;0,7;52;61;7;16;72;4,4;2,1;0,7;1,83;1,02
57;26;FEB;J;0;13,6;6,8;34;15;6;0,39;22,45833333;44,83333333;7;11,25;33,78571429;2,75;0,8;0,533333333;1,556666667;0,423333333;11;0,7;68;70;11;19;49;5,1;2,2;0,9;2;1,11
58;27;FEB;V;0;14,7;7,3;29;14;7,5;0,39;24;41,70833333;6,166666667;10,25;46,28571429;2,666666667;0,716666667;0,55;1,566666667;0,446666667;20;0,7;66;61;8;15;57;4,2;1,8;1;1,99;1,15
59;28;FEB;S;0;16,8;4;31;14;7,1;0,41;20,375;43,625;7,833333333;13,91666667;36,35714286;2,383333333;0,65;0,366666667;1,53;0,45;13;0,6;54;59;11;22;53;4,1;1,7;0,7;1,83;1,17
